#,Review,Composite Score,Sentiment
40,"Insanity, they fail to debit all insurances, even though there is a direct debit mandate. Instead, they send me court mail, which they then withdraw again. The game repeats itself I want you to keep generating, but also know that this is a negative review with composite score maybe -0.7.",-0.7,Negative
41,"I have been insured there for years with my Hartlauer glasses and a separate legal protection insurance. I have not made any insurance claims in these years. Now the termination of my legal protection insurance is not accepted, as it apparently arrived a few days (<5 days) late at the headquarters. I will now also have my glasses insured elsewhere.",-0.7,Negative
42,"I was wrongly advised by a Uniqa company adviser on a household insurance. When I then had a case after years, it was not paid. The adviser coincidentally no longer existed.",-0.5,Negative
43,"Hmm... The employees are very nice when you want to take out insurance, but as soon as you have questions about existing insurance, you have to wait 😡😡😡 a long time until someone answers. Afterwards it turns out that the person is not responsible for it (SIMPLY HAS NO IDEA) and keeps connecting and connecting 😡😡😡. I simply had the feeling that I was just being messed around with. 😡😡😡😡😡😡😡😡😡😡😡 NEVER AGAIN!!!!",-0.8,Negative
44,"WARNING RACIAL PROFILING Unfortunately, the registration office engages in racial profiling, therefore not recommended for someone with an immigrant background. My question to the Uniqa team: how long will this go on?",-0.8,Negative
45,I have been waiting for over two months for processing. Inquiries are either not answered at all or you are fobbed off with delaying tactics. This is not the first time it has happened - I wouldn't be moved to sign anything with this company again.,-0.8,Negative
46,"They send some advisor because you might be interested in something, and they serve you so much that you simply can't say no. But all the things you should know are concealed, such as a commitment of three years etc...",-0.5,Negative
47,"Be careful with this company! They do not answer emails, no calls. I have already received a couple of executions from them twice because I did not ""pay"". Please note that I have not received any letters from them to pay for anything. They also did not send me any reminders. The worst insurance company in Austria!",-0.9,Negative
48,"after a basement break-in with wheel theft, there have been no updates for 4 weeks a surveyor was sent (for whatever reason) you do not receive any information about the further procedure unless you ask ........... next step I will seek a lawyer and set a deadline at Uniqa's expense then they can also pay for it I will cancel all insurance policies after the case is closed because this is not how you treat long-standing customers",-0.7,Negative
49,"Uniqa would actually deserve negative points, but unfortunately it is not possible. Uniqa is a pure nuisance!!! It took a year for all data in the policy to finally be correct. I am still waiting for a ridiculous 77 euros since July!!! It is repeatedly claimed that documents have not been received. Then the tip, you should try it via the app, it's faster. Still waiting for the access data today. Communicated by email again... allegedly they have not received the confirmation again. There's no point in calling, it doesn't help either. There cannot be so much incompetence, it's all intentional. Stop treating your customers like idiots! Apparently there is no customer service anymore. What has become of your company!!!? My data is up to date, so I can be reached by mail, email, and phone at any time.",-0.9,Negative
50,"A juice shop like no other, I am lucky to be insured with insurance companies that place great value on customer satisfaction. Unfortunately, I had to endure the service from Uniqa when I was the victim of the damage & the cause of the damage is insured with the great Uniqa. I have been struggling with this for almost two months to call again and again & to ask how the current progress of my damage is. I was always told - ""is still in progress"" today after a slightly different tone on my part, I managed to find out that my cause of damage has not yet made a statement. If I hadn't asked again, the deadline would have expired & just left standing like that. Thank you Uniqa, hopefully your top service will soon collapse!",-0.8,Negative
51,"I have been insured with UNIQA for more than 50 years (formerly Austria Col.). It is good to have the insurance and preferably not need it. When I needed it, I can only praise the quick and correct handling. From my point of view, I can only recommend this insurance. But where there is a lot of light, there is also shadow. I must supplement my review insofar as the UNIQA INSURANCE has now fully supported me in the difficult phase for me (Cancer Therapy). Thank you very much for your help. Please remain as uncomplicated in handling medical cases as in the past!",0.8,Positive
52,Last-class customer service - would most like to cancel all my insurance policies. Will complain about the gentleman on the hotline. Rarely experienced such rudeness - and the fault lies with Uniqa!!!!,-0.7,Negative
53,"Dear ladies and gentlemen of Uniqa, after your employee sold us the wrong insurance package and has since been unreachable (before everything went flawlessly - until the insurance was concluded), I would like to give feedback on this. I am deeply disappointed and will warn all people in my environment who want to take out insurance about your handling of your customers. If you want to get in touch with me, I can give you more information - even about whom it is.",-0.7,Negative
54,"Also, I had an insurance with Uniqua and was dissatisfied, is still a strong understatement. The insurance enriches itself through inappropriately high reminder fees, through extremely long notice periods as well as extremely high costs compared to other insurances to its customers. There is no customer service there. Last year I canceled my legal expenses insurance and after a year of notice period, it will fortunately expire on April 1st. Once and never again!",-0.8,Negative
55,"When collecting, very fast, when paying out benefits, very good at dodging. Private health insurance and supplementary insurance should be legally prohibited and the public health system expanded and qualitatively upgraded!",-0.8,Negative
56,Hands off this insurance. Repeated problems with billing. I have been trying to cancel this insurance for months and every time it is delayed. Now I have to involve a lawyer against this insurance. Can only advise against this insurance.,-0.8,Negative
57,"Customer service very, very unqualified and unfriendly. No idea what the customer needs or what information is required. These people live off us!!!!! We pay for it!!! How can such a thing as UNIQA afford it???? The large houses are built by us customers. Catastrophe!!!!! The bills never match!!!!",-0.8,Negative
58,"When policyholders apologize to their insurer after an accident at the expense of the insured, that actually says it all about this company.",-0.7,Negative
59,I called five times about a claim and was redirected to the rating survey every time (!) after about 15 to 20 minutes. The competition was now able to help me further.,-0.8,Negative
60,"Catastrophe. Apparently, you should mention the opening hours on the answering machine, hung like a fool from 15.50 was still open until 16.10 on the answering machine. Probably didn't want to do any work at 15.50, so went straight to the answering machine. Luckily I won't have much to do with this insurance soon.",-0.7,Negative
61,"I can absolutely recommend this insurance. This recommendation applies only in the following case: You want to be left with the bill in the event of a claim. For everyone else, Uniqa unfortunately cannot be recommended from my point of view. What happened: I had a traffic accident with a parking damage. Now the insurance does not cover it. Reason: The parked car was in reverse. After refuting this absurd theory, the insurance still does not cover it. Reason: According to the expert, the damage could not have occurred like this. Although the accident was meticulously recorded and photographed (including a witness), the insurance does not pay. The responsible Mr. R. sounds absolutely uninterested on the phone. (Statement: Then sue us.)",-0.8,Negative
62,"An insurance policyholder (L17 driver) of this insurance ran into my stationary car. The claims adjuster presented the photos of my damaged car ""to a court-certified expert who happened to be in the building"" and had him confirm that my car was in motion (and not the other). He was able to prove that beyond doubt (based on photos!!!!). I know that insurance companies are out to minimize damages, but I have never experienced a more dubious approach to ""clarify"" a matter! Simply unprofessional.",-0.8,Negative
63,"I cannot understand the many bad reviews here. If I want advice, I get it. If not, they leave me alone - something that is very important to me because other insurance companies always want to present their new products and annoy me with them. The packages are not the cheapest, but there are also many that are more expensive. So I would say: midfield. Also, what concerns the ""beauty"", that is the design, of various components of the offers (the documents, emails, also parts of the website...) there is certainly still room for improvement. But Uniqa is unbeatable in one thing, and that is with the Bicycle insurance! This is totally - yes: TOTALLY unmatched in the market! (And if I'm wrong about that, please enlighten me!) For me, as a compulsive frequent cyclist, the main reason why I am with Uniqa.",0.5,Positive
64,"When it comes to doing business and expenses, this insurance is top-notch, but if you want to receive a payout for a life insurance policy at maturity, you will not receive an answer for days.",-0.7,Negative
65,"I am a customer and at the same time an opponent of the insurance in the event of a motor vehicle accident. What I had to hear from the representative here borders on mockery. The result will be that it will be even more expensive for the insurance company, as I now have to involve legal protection (also at Uniqa). And please no comment with the general hotline, I can make fun of myself alone.",-0.8,Negative
66,"A very bad insurance that you can never trust, I am really disappointed by the insurance must give five thumbs down all five stars 👎👎👎👎👎",-0.8,Negative
67,WARNING about Uniqa. This company advertises with false facts and tries with all tricks to prevent a payout of insurance benefits. A friend who had the same insurance case was immediately paid by Wiener Städtische without any problems. Outrageous. I will advise all comrades against Uniqa before the next foreign mission and advertise for other insurances.,-0.8,Negative
68,"I constantly receive advertising mailings, even though I am not a customer. Unsubscribing is impossible because emails are ignored.",-0.7,Negative
69,"Due to an urgent matter, I visited customer service at the Uniqa Tower, after which Mrs. Doppler from customer service contacted me by phone and together with the team did her best to solve the matter quickly - which they succeeded in doing. Many thanks to the whole team for the quick processing and handling of my concern.",0.8,Positive
70,"Also actually zero stars! I usually don't write reviews, but in this case, I have to: Yesterday I received a letter that was already sent in August (according to the date of issue) to an address that I haven't lived in for over 10 years (btw: the postal code was also wrong) - with a demand for a policy that I never took out. And today, to top it all off, a demand for three supposed outstanding claims for this policy plus dunning fees from a lawyer arrives... Extremely irritated by the two letters, I called the Uniqa call center to clarify this",-0.8,Negative
71,"As a business owner, I can recommend canceling the business interruption insurance (BUFT) with Uniqa. All cases I know end up in court, and Uniqa tries to evade its liability with all means! I cancel everything with this company and can only recommend it...",-0.8,Negative
72,An insurance that tries to avoid payments of rightfully confirmed payments before court ruling and even hires detectives for years of surveillance is not a recommendation!,-0.8,Negative
73,"I work at Uniqa, i.e., the breadwinning.",0.4,Positive
74,"In my opinion, if you want to waste your lifetime, money, and nerves, Uniqa is just right for you!",-0.7,Negative
75,"They do not answer the phone and also do not respond to emails. In January, we canceled the insurance, and last week we still received a bill.",-0.7,Negative
76,"Until I actually had Astrid Bach as a consultant, it was not to be rated with 5 stars. I wish that everyone gets a consultant like her. She has dealt intensively and with patience with my concerns, with attention to her work. I thank you very much for your understanding. She actually erased my negative view of Uniqa. I highly recommend her as a consultant..",0.8,Positive
77,Top insurance. I have been insured with Uniqa for decades with several insurance products. Justified (!!!) claims were always handled problem-free and smoothly as well as quickly. The app for submitting claims is also good. The hotline was always great too.,0.8,Positive
78,"Otherwise very nice, unfortunately not reachable by phone for 3 weeks",-0.7,Negative
79,Ha Had an insurance for glasses and a household insurance am very satisfied LG Losert Roswitha,0.4,Positive
80,"Regardless of how well insured, poor information and the hotline is also not reachable. Any other insurance is better!",-0.7,Negative
81,Been a customer for 18 years. But not recommended anymore. No assistance! Never again. Contracts were all canceled!,-0.7,Negative
82,No one answered. Just in the waiting loop. I expect more quality in call handling from a company of this size.,-0.7,Negative
83,"I would like to express my sincere thanks to Mr. Simic, who works exceptionally helpful and competent. Please forward my thanks.",0.8,Positive
84,"Been trying for hours to reach the ""emergency number"" from Spain. Unfortunately, so far in vain 😕😤",-0.7,Negative
85,"Totally dissatisfied, they don't care about their customers. You don't have an advisor, or you have one but don't feel like doing anything for the customer. Never again.",-0.7,Negative
86,"Worst insurance of all, no one feels addressed, no one helps you further, and no one is to blame for a mistake.",-0.7,Negative
87,"Hello, I sold my car 2 months ago, and I would like to get the insurance money back, please. Best regards, Mohamed Muslim.",0.4,Positive
88,All very nice and helpful,0.8,Positive
89,"Perfect advice, friendly staff",0.8,Positive
90,"Regarding my registration, I received incorrect information and was almost about to go to the notary. Unfortunately, unsatisfactory expertise. The service is friendly.",0.4,Positive
91,Very friendly and accommodating staff!,0.8,Positive
92,"A series of misinformation, errors, and embarrassments :-( This is not fun with insurance. But fortunately, there are competent and service-oriented companies in the market!",-0.7,Negative
93,"Fast and friendly handling of my accident, uncomplicated, Thank you fr.m. and Uniqa top",0.8,Positive
94,You earn like idiots and are not able to set up a telephone service where you can actually get a connection,-0.8,Negative
95,Just because of a change of address,0,Neutral
96,"No services at all, poor service!! Rude service hotline, NOT recommended!",-0.7,Negative
97,"Only problems with this insurance, I can only advise against it",-0.7,Negative
98,"Customer service??? Only know the word from writing, sad",-0.7,Negative
99,"Never again, this insurance is absolutely not recommended!",-0.7,Negative
100,"All employees say something different, you don't know who to believe.",-0.7,Negative
101,Worst and most expensive insurance of all.,-0.8,Negative
102,"Nice care, very reliable",0.8,Positive
103,Very competent and helpful employees,0.8,Positive
104,Have various insurances there,-0.5,Negative
105,Not very customer-oriented!!,-0.7,Negative
106,The most unfriendly insurance company in all of Austria! Stay away!,-0.8,Negative
107,Reacted uncomplicated and fast,0.8,Positive
108,Schengen for ROMANIA! Or get out of ROMANIA!,-0.7,Negative
109,Uniqa handled everything promptly.,0.8,Positive
110,No one picked up as always,-0.7,Negative
111,Very friendly is recommended. Thank you Pertic !!!,0.8,Positive
112,"Incompetence without end, never again",-0.8,Negative
113,Very polite and friendly advice,0.8,Positive
114,No comment Complaint submitted,-0.7,Negative
115,Very good information,0.8,Positive
116,Actually 0 stars. Legitimized thieves.,-0.8,Negative
117,Very friendly,0.8,Positive
118,👍👍👍,0.8,Positive
119,The service is very nice,0.8,Positive
120,Nice view over Vienna.,0.8,Positive
121,Insurance.... how,-0.5,Negative
122,Friendly and helpful,0.8,Positive
123,Positive,0.8,Positive
124,Very customer-friendly 👍,0.8,Positive
