type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;description;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2;serviceOptions.3;serviceOptions.4;serviceOptions.5;serviceOptions.6
Insurance company;+43 6245 833650;Generali Hallein;0x477694fe7de4bdd9:0x4ab55bd52225300;4.7;Salzachtalstraße 6, 5400 Hallein, Austria;ChIJ2b3kff6UdkcRAFMiUr1VqwQ;20;https://www.generali.at/helpcenter/standorte/Hallein;4;https://lh5.googleusercontent.com/p/AF1QipMxpm4Xx5zCTAsO5y36YrZ7D-QEiaV71vmcV8vc=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Salzburg, Hallein;47.683025799999996;13.098701499999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Sporting goods store;+43 2622 27778;Hervis Wiener Neustadt;0x476dcbe44889fcd9:0xd62a6a8681de23e6;4.1;EKZ Fischapark, Zehnergürtel 12/24, 2700 Wiener Neustadt, Austria;ChIJ2fyJSOTLbUcR5iPegYZqKtY;398;https://www.hervis.at/shop/store-finder/d/4349/wiener-neustadt;60;https://lh5.googleusercontent.com/p/AF1QipMBnwbxFRjctvRG2LxtKd8UzE7ShZNEtabgG7uv=w124-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.819406699999995;16.2169591;In-store pick-up;Same-day delivery;;;;;
Book store;+43 732 761569517;Thalia;0x476dcbe44889fcd9:0x6d76b6482fa03113;4.5;Zehnergürtel 12-24, 2700 Wiener Neustadt, Austria;ChIJ2fyJSOTLbUcREzGgL0i2dm0;1025;https://www.thalia.at/shop/home/filialen/showDetails/6413;51;https://lh5.googleusercontent.com/p/AF1QipMbshZRsSIxPBdPuQgcVIFSB1It5KMllieyC4tP=w264-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.818653499999996;16.2166617;Kerbside pickup;Delivery;In-store pick-up;In-store shopping;Same-day delivery;;
Restaurant;+43 2622 26840;McDonald's Fischapark;0x476dcbe44889fcd9:0x65c25dcf7a879c3f;3.7;Zehnergürtel 12-24, 2700 Wiener Neustadt, Austria;ChIJ2fyJSOTLbUcRP5yHes9dwmU;772;http://www.mcdonalds.at/;43;https://lh5.googleusercontent.com/p/AF1QipN5FwYVIKFDCUpsEw1mqExms3aZTW0S6Amc5RrL=w163-h92-k-no;Iconic fast-food burger & fries chain. Classic, long-running fast-food chain known for its burgers & fries.. . t;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.819541799999996;16.218528;Identifies as women-owned;;;;;;
Hotel;+43 2236 222460;Babenbergerhof;0x476daf09625071d9:0x3c857f2f7069b7d9;4.5;Babenbergergasse 6, 2340 Mödling, Austria;ChIJ2XFQYgmvbUcR2bdpcC9_hTw;801;https://www.babenbergerhof.com/;4;https://lh5.googleusercontent.com/p/AF1QipNVCi-J-EoEPNDNMFMw9-KmsYt-Xqha78lCb3tp=w138-h92-k-no;Casual hotel with dining & a beer garden. Laid-back hotel featuring a restaurant, a terrace & a tree-shaded beer garden, plus free Wi-Fi.. . t;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0837376;16.2836975;;;;;;;
Shopping mall;+43 512 901115;Kaufhaus Tyrol;0x479d6be36c497ad9:0xbc572eadc51bd1c;4.3;Maria-Theresien-Straße 31, 6020 Innsbruck, Austria;ChIJ2XpJbONrnUcRHL1R3OpyxQs;7641;https://www.kaufhaus-tyrol.at/de/;7;https://lh5.googleusercontent.com/p/AF1QipOCkejXb__rAD90nF5jRBeTFyQoOwMk1W7Az5tP=w138-h92-k-no;Many shops & cafes in a flashy space. 50+ stores & eateries over multiple floors in a modern indoor mall with dramatic architecture.. . t;@40.7455096,-74.0083012,14z;vig in AT, Tyrol, Innsbruck;47.2654487;11.3949868;In-store shopping;;;;;;
Hotel;+43 2622 23169;Hotel Zentral;0x476dcb9015d0fdff:0x78e62c2d632bfd19;4;Hauptpl. 27, 2700 Wiener Neustadt, Austria;ChIJ__3QFZDLbUcRGf0rYy0s5ng;352;http://www.hotelzentral.at/;46;https://lh5.googleusercontent.com/p/AF1QipMMdKsuDVVNU4Be-kL6z1F6J3rRpammZvhFlfJW=w138-h92-k-no;Down-to-earth hotel with free Wi-Fi. Simple rooms, some with balconies, in an unassuming hotel offering complimentary Wi-Fi.. . t;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.812737399999996;16.2443386;;;;;;;
Tobacco shop;+43 2732 70426;Krems;0x477285e339361ddd:0xc020c83385e9be2a;;Göttweigergasse 33, 3500 Krems an der Donau, Austria;ChIJ3R02OeOFckcRKr7phTPIIMA;;undefined;60;https://lh5.googleusercontent.com/p/AF1QipPmlGMSzKI8lski10uRpZMP14dGAlwP8ACgMpBu=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4086633;15.613614499999999;Wheelchair-accessible car park;;;;;;
Youth organization;+43 2742 361934;Pfadfindergruppe St. Pölten-Viehofen;0x47727f5959e01ddd:0x94623e1e2209682d;4.8;Austinstraße 21, 3107 St. Pölten, Austria;ChIJ3R3gWVl_ckcRLWgJIh4-YpQ;6;http://www.stpv.at/;7;https://lh5.googleusercontent.com/p/AF1QipNyWohL7rNbVKWPJmLIpUh272WPTV--l6c7oTUl=w338-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Sankt Pölten;48.227794599999996;15.6398494;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Insurance agency;+43 6582 710660;FIVOinvest GmbH;0x4776e327484023dd:0xb74d6479871e2b0e;5;Lofererstraße 46, 5760 Saalfelden am Steinernen Meer, Austria;ChIJ3SNASCfjdkcRDiseh3lkTbc;9;https://www.fivoinvest.at/;1;https://lh5.googleusercontent.com/p/AF1QipOXAvwbeqdX0r4uHOzs-pTl3VwM-2UQqjDHAJf9=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Salzburg, Saalfelden am Steinernen Meer;47.427729899999996;12.848027;Wheelchair-accessible car park;;;;;;
Restaurant;+43 2622 28263;Rak Thai;0x476dcbe676882ddf:0xf78cb6df5f2e7293;4.6;Kollonitschgasse 2, 2700 Wiener Neustadt, Austria;ChIJ3y2IdubLbUcRk3IuX9-2jPc;251;http://www.rak-thai.at/;52;https://lh5.googleusercontent.com/p/AF1QipMrwpRUUyOl6AQEFugkaqZlZXdBw7jRNonZFJaa=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.813648699999995;16.2380417;Outdoor seating;Dine-in;;;;;
;;Mödling;0x476dafa0d03b84dd:0xd0b26cb506ea6e90;;Austria;ChIJ3YQ70KCvbUcRkG7qBrVsstA;;http://www.moedling.at/;8;https://lh5.googleusercontent.com/p/AF1QipPP9z-aplCYnn1t3sP1qxpRSjB86_kY4XebqsbD=w92-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.08255;16.2869;;;;;;;
;;Mödling;0x476dafa0d03b84dd:0x7b05ab718b37d340;;2340, Austria;ChIJ3YQ70KCvbUcRQNM3i3GrBXs;;undefined;10;;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0759541;16.2789628;;;;;;;
Disco club;;Hangover;0x476dcb90523da2e3:0x9edcc49a80222328;4.2;Herrengasse 3, 2700 Wiener Neustadt, Austria;ChIJ46I9UpDLbUcRKCMigJrE3J4;80;http://hangover.at/;26;https://lh5.googleusercontent.com/p/AF1QipMs5NyKoWHCWv5rQRAEvUFChbSk7QsxyxUAqga0=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.813918;16.243437;Dine-in;Delivery;Takeaway;;;;
Chinese restaurant;+43 2732 90949;China Restaurant Shanghai;0x47728442f47ec6e3:0x3601a98ceca42acf;4.4;Ringstraße 21, 3500 Krems an der Donau, Austria;ChIJ48Z-9EKEckcRzyqk7IypATY;1295;https://www.facebook.com/shangaikrems;58;https://lh5.googleusercontent.com/p/AF1QipPVEeDA9capx80cdjpMfjgzhTzmPtWe-iMG3-fI=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4094743;15.6029112;Identifies as women-owned;;;;;;
Restaurant;+43 664 1429930;Restaurant port361 Leoben;0x4771de640321a8e1:0x596eed7e09442a02;4.8;Kärntner Str. 361, 8700 Leoben, Austria;ChIJ4aghA2TecUcRAipECX7tblk;273;http://www.port361.at/;14;https://lh5.googleusercontent.com/p/AF1QipNJDqtMDnHcxYWproTL0LPS9nlvBp_2gkcJsD0V=w137-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Styria, Leoben;47.365845199999995;15.078161699999999;Dine-in;Delivery;;;;;
Charity;+43 2252 52123;The Oasis;0x476db1be42d9b5e1:0x64a0bd3cfc7cd4d9;4.8;Otto Glöckel-Straße 3, 2514 Traiskirchen, Austria;ChIJ4bXZQr6xbUcR2dR8_Dy9oGQ;9;https://www.oasis-iteams.at/;5;https://lh5.googleusercontent.com/p/AF1QipMnb6yGlku9zbNv9kmEqQt96QCoCiX5YZCYzUyS=w80-h106-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Traiskirchen;48.0146369;16.2904344;Wheelchair-accessible car park;Wheelchair-accessible entrance;Wheelchair-accessible toilet;;;;
;;Wolfsberg;0x4770142ccfb312e3:0x2c4e574b8824b914;;Austria;ChIJ4xKzzywUcEcRFLkkiEtXTiw;;undefined;6;https://lh5.googleusercontent.com/p/AF1QipO8V3gkMJNX-02vPT5SqvddyEAixNJHWFxQ4uE0=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.864573;14.7628645;;;;;;;
Homestay;+43 660 6008332;Privacy Lounge;0x47724909204e36e3:0x7dddc79b5ccf7815;4.9;Wienerstr. 87, 3300 Amstetten, Austria;ChIJ4zZOIAlJckcRFXjPXJvH3X0;50;http://www.rent-a-room-amstetten.at/;2;https://lh5.googleusercontent.com/p/AF1QipP6McFrTD8SVLMcXrX9jVsGUciAZgVkMAw-HPqI=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Amstetten;48.1225935;14.8845063;;;;;;;
Restaurant;+43 2243 33933;Unser Weidlinger;0x476d094a9b3962e7:0x4c09042cdd989c99;4.4;Hauptstraße 190, 3400 Klosterneuburg, Austria;ChIJ52I5m0oJbUcRmZyY3SwECUw;275;http://unserweidlinger.at/;10;https://lh5.googleusercontent.com/p/AF1QipPe5Sj7xY3r_SMa1xydhDqgHEpC4uHzrAwiekf0=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.281444099999995;16.2834176;Outdoor seating;No-contact delivery;Delivery;Takeaway;Dine-in;;
Insurance company;+43 50 3504 5000;Zulassungsstelle Wiener Städtische Versicherung AG;0x4776907a469466e5:0x856fc58a63a0d509;3.6;Max-Ott-Platz 3, 5020 Salzburg, Austria;ChIJ5WaURnqQdkcRCdWgY4rFb4U;39;https://www.wienerstaedtische.at/geschaeftsstellen.html;4;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b-hqt6DgoHfTZuDgMfUWWw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.76193&pitch=0&thumbfov=100;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Salzburg, Salzburg;47.808449599999996;13.0416074;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Restaurant;+43 2732 78754;MarktSpiel Krems;0x477285c70e2048eb:0xcbfbb677f67c0cbb;4.6;u. Landstraße 3, 3500 Krems an der Donau, Austria;ChIJ60ggDseFckcRuwx89ne2-8s;548;https://www.markt-spiel.at/;22;https://lh5.googleusercontent.com/p/AF1QipN00Mw5R0zuaX2ltHqk8xmcLMYL-evNuEMQXUi_=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4114243;15.600698;Outdoor seating;Takeaway;Dine-in;Delivery;;;
;;Wolfsberg;0x477020fa972690eb:0x491000f1e7868ea3;;Austria;ChIJ65Aml_ogcEcRo46G5_EAEEk;;http://www.wolfsberg.at/;3;https://lh5.googleusercontent.com/p/AF1QipOqVocntLz70xNepp4ISN7vuuT9sNcxXVSYWNSb=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.8401;14.84277;;;;;;;
;+43 650 4640093;VGSAG;0x476e4a99beb600e9:0xc573f6b88a2216c;5;Conrad-von-Hötzendorf-Straße 106, 8010 Graz, Austria;ChIJ6QC2vplKbkcRbCGiiGs_Vww;1;http://www.vgsag.at/info/;2;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6RuV6yDxZ_eAx0HY3fvk0g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=245.00645&pitch=0&thumbfov=100;;@40.7455096,-74.0083012,14z;vig in AT, Styria, Graz;47.0537973;15.448235799999999;Wheelchair-accessible car park;;;;;;
County government office;+43 2236 90250;Bezirkshauptmannschaft;0x476daf01682308eb:0x9d0aee25b905604c;3.3;Bahnstraße 2, 2340 Mödling, Austria;ChIJ6wgjaAGvbUcRTGAFuSXuCp0;150;https://www.noe.gv.at/noe/Moedling/Bezirkshauptmannschaft_Moedling.html;27;https://lh5.googleusercontent.com/p/AF1QipO_XdVgIXwXH_wLmev8ikLi46iuFC1qKOL4xuIo=w131-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0824962;16.2991003;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Association / Organization;+43 681 20414907;Österreichischer Alpenverein - Mödling;0x476daf0bb62581e9:0x4b59314334037de8;4.8;Brühler Str. 5, 2340 Mödling, Austria;ChIJ6YEltguvbUcR6H0DNEMxWUs;4;https://www.alpenverein.at/moedling;15;https://lh5.googleusercontent.com/p/AF1QipPEDeM07rftK7zDNOBjjQF87atYwI5RR9bmwW6I=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0836081;16.281015999999997;;;;;;;
School;+43 2630 35052;BORG Ternitz;0x476dda82fc0241ef:0x141a84f59d848ed1;4.3;Str. des 12. Februar 23, 2630 Ternitz, Austria;ChIJ70EC_ILabUcR0Y6EnfWEGhQ;12;http://www.orgternitz.at/;9;https://lh5.googleusercontent.com/p/AF1QipOzrsK38Of7eQrVMMEwKv8GE2ussQvSQ4XprU4w=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Ternitz;47.718679099999996;16.0321815;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Boarding house;+43 2630 33128;Pension Himmelreich;0x476dda99f64cbeef:0xd74ead4cdb71a20;4.3;Döpplinger Str. 73, 2630 Ternitz, Austria;ChIJ775M9pnabUcRIBq3zdTqdA0;39;http://www.zimmer-himmelreich.at/;5;https://lh5.googleusercontent.com/p/AF1QipNvDR08p7ONZWetNRRgKnP-2Nc7GDNukQJStPvS=w80-h106-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Ternitz;47.7267878;16.026968399999998;;;;;;;
Sports club;;SURF CLUB KREMS;0x47728440940dd8ef:0xaaf4747340ed4937;;Yachthafenstraße, 3500 Krems an der Donau, Austria;ChIJ79gNlECEckcRN0ntQHN09Ko;;https://www.surf-club.at/kontakt/;47;https://lh5.googleusercontent.com/p/AF1QipOzWWOogdbJlhxS5-BgvlVvAUyiXd3BZUU7OYtM=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4039967;15.5929506;Wheelchair-accessible car park;;;;;;
Home insurance agency;+43 1 7065151;KANZLEI - WIENERROITHER Versicherungsmakler- und Versicherungsberatungs Ges.m.b.H.;0x476daae6b198d9ef:0x79da1813c37af136;4.4;Brauhausstraße 8/2, 2320 Schwechat, Austria;ChIJ79mYseaqbUcRNvF6wxMY2nk;15;http://www.vvv.co.at/;6;https://lh5.googleusercontent.com/p/AF1QipMqTDkmN6Y-sA0c0Kpt6BB9efL6SwRDktFTw41O=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Lower Austria, Schwechat;48.1411708;16.472215;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Barbecue restaurant;+43 667 7748600;Balkan Grill Restaurant;0x476daf1e9815b5fb:0x3ebb33af6c8821ac;4.6;Enzersdorfer Str. 25, 2340 Mödling, Austria;ChIJ-7UVmB6vbUcRrCGIbK8zuz4;164;https://xn--balkan-grill-mdling-36b.at/21998;32;https://lh5.googleusercontent.com/p/AF1QipO348tVZ0iWdsIv_Od-_diuI9aIzZ2tv00zNbfc=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0887864;16.2832457;Outdoor seating;Kerbside pickup;Delivery;Takeaway;Dine-in;;
European restaurant;+43 660 6233110;Restaurant Tiroler Hof Kufstein - von Viktoria Fahringer;0x477639e109f96aed:0xe3b963691837d8d;4.7;Am Rain 16, 6330 Kufstein, Austria;ChIJ7Wr5CeE5dkcRjX2DkTaWOw4;257;https://viktoriashome.at/;1;https://lh5.googleusercontent.com/p/AF1QipMmQSQHMX49RgVvC6-ERGU3-rEM-WpIfgsOGWlQ=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Tyrol, Kufstein;47.5929979;12.1817374;Identifies as women-owned;;;;;;
Insurance company;+43 5372 621310;TIROLER VERSICHERUNG V.a.G.;0x4776375a491829ef:0x2b7c88a001ececc1;4.6;Salurner Str. 38, 6330 Kufstein, Austria;ChIJ7ykYSVo3dkcRwezsAaCIfCs;13;http://www.tiroler-versicherung.at/;4;https://lh5.googleusercontent.com/p/AF1QipMbY3-vvPjyL4PoykZEzm2ljVSAV1gfvjJtoc2L=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Tyrol, Kufstein;47.5760411;12.1579193;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Marketing agency;+43 662 889870;TSG Tourismus Salzburg GmbH;0x4776907af9914df3:0xb4e562f607b012e0;4;Mozartpl. 5, 5020 Salzburg, Austria;ChIJ802R-XqQdkcR4BKwB_Zi5bQ;27;https://www.salzburg.info/;4;https://lh5.googleusercontent.com/p/AF1QipMZzEtX0LEPO-2CJl0Plk_ei0_4cGcqQThmyf7o=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Salzburg, Salzburg;47.7990838;13.0480855;Wheelchair-accessible entrance;;;;;;
Butcher shop;+43 2732 82419;Winkler-Langgartner;0x4772845d4edba5f3:0xdc0fe3e74c1a36ef;4.3;u. Landstraße 54, 3500 Krems an der Donau, Austria;ChIJ86XbTl2EckcR7zYaTOfjD9w;36;http://fleischerei-winkler.at/;49;https://lh5.googleusercontent.com/p/AF1QipPOkeLnLq-uV_jEuj38-az28xoFqxXLqf_J8IXA=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4119922;15.6048125;Delivery;In-store pick-up;Same-day delivery;;;;
Train station;;Wiener Neustadt;0x476dcb8cfca6ccf1:0x92fd8946a79a14df;4.1;2700 Wiener Neustadt, Austria;ChIJ8cym_IzLbUcR3xSap0aJ_ZI;382;undefined;30;https://lh5.googleusercontent.com/p/AF1QipMs2McYRZueugTB__sKtgU7cofix0t7iqrOYC2g=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.811602699999995;16.234413099999998;Wheelchair-accessible car park;Wheelchair-accessible entrance;Wheelchair-accessible toilet;;;;
Insurance broker;+43 662 440117;BULLInvest Versicherungsmakler;0x477690751d68c7ff:0x82d71304e7799158;5;Vogelweiderstraße 44, 5020 Salzburg, Austria;ChIJ_8doHXWQdkcRWJF55wQT14I;3;http://www.bullinvest.at/;3;https://lh5.googleusercontent.com/p/AF1QipO7k0lDT2vEAWUBo374GLgvVYUEnplWQ9ZGkfJI=w194-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Salzburg, Salzburg;47.811996099999995;13.0549126;Wheelchair-accessible car park;;;;;;
Supermarket;+43 2732 8504011;SPAR;0x477284429426e2f1:0x6285be2ada521b16;4;Ringstraße 20, 3500 Krems an der Donau, Austria;ChIJ8eImlEKEckcRFhtS2iq-hWI;203;https://www.spar.at/standorte/spar-krems-3500-ringstrasse-20;73;https://lh5.googleusercontent.com/p/AF1QipPxdtwwVcrCC2_7ZrrReoY-4pko8Gayt4Wj4QNB=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4101912;15.6038944;Delivery;Same-day delivery;;;;;
