type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2
Insurance agency;+43 664 4824952;Uniqa Versicherungen AG;0x4770748095b6bde1:0xde4c04e717167872;5;Sterneckstraße 48, 9020 Klagenfurt am Wörthersee, Austria;ChIJ4b22lYB0cEcRcngWF-cETN4;3;undefined;6;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xDOkA0KViYGrqr8XyOtHoA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=0.58183104&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Carinthia, Klagenfurt am Wörthersee;46.6256955;14.292328;Wheelchair-accessible car park;;
Insurance agency;+43 7242 44519;UNIQA GeneralAgentur Die Regionale VERS GmbH & Kfz Zulassungsstelle;0x4773f34580e3bde1:0xb090b85721872d35;4.7;Europastraße 46, 4600 Wels, Austria;ChIJ4b3jgEXzc0cRNS2HIVe4kLA;11;http://www.die-regionale.at/;1;https://lh5.googleusercontent.com/p/AF1QipMwFdl6pjEyBMwugNHn4YI15EB4MnNmYF1Iz95u=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Wels;48.149620399999996;13.9912184;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance company;+43 2742 894646;UNIQA Landesdirektion Niederösterreich | ServiceCenter & Kfz Zulassungsstelle;0x477278a4fe0289fb:0x53cb0e9b72080dca;4.4;Schießstattring 31, 3100 St. Pölten, Austria;ChIJ-4kC_qR4ckcRyg0IcpsOy1M;44;https://servicecenter.uniqa.at/st-poelten/de/;1;https://lh5.googleusercontent.com/p/AF1QipOii6eIDO5TTHz7a05LsXI0dD5-wRnm8MyIYqNM=w80-h164-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Lower Austria, Sankt Pölten;48.2026423;15.6199184;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 512 260266;UNIQA GeneralAgentur Bogner Michael;0x479d6fb9aea54fe7:0x845032d851443d21;5;Schützenstraße 46, 6020 Innsbruck, Austria;ChIJ50-lrrlvnUcRIT1EUdgyUIQ;2;https://www.uniqa-leader.at/;15;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R7I-454UPqqQD3lWV4nBOA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.89854&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Tyrol, Innsbruck;47.2739516;11.437969299999999;Wheelchair-accessible car park;;
Insurance company;+43 1 6991543;UNIQA ServiceCenter & KFZ Zulassungsstelle Liesing;0x476da8b998cebae7:0xf90c361f427e9975;4.3;Brunner Str. 81A/1, 1230 Wien, Austria;ChIJ57rOmLmobUcRdZl-Qh82DPk;72;https://servicecenter.uniqa.at/wien23/de/;9;https://lh5.googleusercontent.com/p/AF1QipNyWJflTl_BAIrThUxHQiGGfrwOnn-9MY-rJurw=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.1318945;16.2984909;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;;Uniqa Insurance Group Ag;0x4773978d44d1d3e5:0x7e678c3d5f8e1bb0;;Europapl. 5, 4020 Linz, Austria;ChIJ5dPRRI2Xc0cRsBuOXz2MZ34;;undefined;1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h1poJ5j9rBG9q6yn0Fc4AA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=52.72787&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Upper Austria, Linz;48.2994172;14.3036774;Wheelchair-accessible car park;;
Insurance agency;+43 676 9760577;UNIQA GeneralAgentur Unterpertinger Michael;0x479d6974cd7a9bff:0x894d1f2831ff1691;5;Eingang Nord, Hunoldstraße 12/Stock 1, 6020 Innsbruck, Austria;ChIJ_5t6zXRpnUcRkRb_MSgfTYk;8;https://www.uniqa-unterpertinger-leitinger.at/;16;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zkPav9ZDBf-7ydNNZPQ9xQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=271.22922&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Tyrol, Innsbruck;47.263273;11.4050149;Wheelchair-accessible car park;;
Insurance agency;+43 662 660400;Salzburger KFZ Zulassungsstelle, Anmeldestelle für Salzburg, Salzburg Land & Hallein, P&P UNIQA;0x47769148939260e5:0x908862c74920457e;5;Wiener Bundesstraße 18, 5300 Hallwang bei Salzburg, Austria;ChIJ5WCSk0iRdkcRfkUgScdiiJA;15;https://www.pp-versicherung.at/Zulassungsstelle;8;https://lh5.googleusercontent.com/p/AF1QipOdAJmXNtIshSRj-g4pBuHO4v3Djn9DUHgl_Rib=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Salzburg, Salzburg;47.8323563;13.086423799999999;Online appointments;On-site services;
Insurance agency;+43 4352 2225;UNIQA GeneralAgentur Jölly Vers. KG;0x477021e543051ee7:0x6a6de6f1702b7f5a;;St. Thomaser Str. 24, 9400 Wolfsberg, Austria;ChIJ5x4FQ-UhcEcRWn8rcPHmbWo;;https://www.dsgs-versicherung.at/;3;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qmBcH7_QCBB-wIzDavLHKw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=296.45215&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Wolfsberg;46.8295728;14.834024099999999;Wheelchair-accessible car park;;
Insurance agency;+43 7252 50280;UNIQA GeneralAgentur Team Steyr;0x4773cf85a33b10e7:0xde9863a851a335a3;5;Dukartstraße 15, 4400 Steyr, Austria;ChIJ5xA7o4XPc0cRozWjUahjmN4;4;https://www.team-steyr.at/;2;https://lh5.googleusercontent.com/p/AF1QipPojFsoxofcbj66dppZmN7sTDsZaJf-TZKQW_Y2=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Steyr;48.0379322;14.4217199;Wheelchair-accessible car park;;
Insurance agency;+43 1 9042090;UNIQA GeneralAgentur Bienstock;0x476da9cdfe2583eb:0xbb81f418f13785b0;4.8;Hütteldorfer Straße 130D Zugang (ohne Stufen) auch über Ameisbachzeile 2 möglich, 1140 Wien, Austria;ChIJ64Ml_s2pbUcRsIU38Rj0gbs;28;https://www.uniqa-bienstock-partner.at/;10;https://lh5.googleusercontent.com/p/AF1QipOx_Dslj_4P_uzkk8T8kf_CY_U0YmRy5v60cORU=w194-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.1978163;16.2976472;;;
Insurance agency;+43 676 5953666;UNIQA GeneralAgentur Andrej & Partner;0x479b13d4be8aa7e9:0x246f9254ba617c34;5;Hirtenweg 4, 6850 Dornbirn, Austria;ChIJ6aeKvtQTm0cRNHxhulSSbyQ;3;https://www.uniqa-andrej-partner.at/;7;https://lh5.googleusercontent.com/p/AF1QipO6PvRyB_Ovqe6oXnY_cU5gqbhZdTCSJGM4JuHT=w141-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vorarlberg, Dornbirn;47.4101692;9.7213014;Wheelchair-accessible car park;;
Insurance agency;+43 1 5339750;UNIQA GeneralAgentur PREVENTA_;0x476d07f73f4e50e9:0x96e7a721ceca2363;4.7;Beingasse 28/1, 1150 Wien, Austria;ChIJ6VBOP_cHbUcRYyPKziGn55Y;52;https://www.uniqa-preventa.at/;6;https://lh5.googleusercontent.com/p/AF1QipO0Hyv3Do5mUkJYBYa_jRLPEkf62duF4LflbjFh=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.199770099999995;16.3322565;On-site services;;
Insurance agency;+43 662 424232;Versicherungsagentur VA Salzburg GmbH;0x477690f101e70deb:0x70190e14e55799b7;4.7;Innsbrucker Bundesstraße 27, 5020 Salzburg, Austria;ChIJ6w3nAfGQdkcRt5lX5RQOGXA;23;http://www.versicherungsagentur-salzburg.at/;12;https://lh5.googleusercontent.com/p/AF1QipPE1Em8j3vL6UtWza2ySZ6cCTSaNQaOjZwO1f0f=w180-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Salzburg, Salzburg;47.8049396;13.0213159;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 7232 20100;UNIQA GeneralAgentur Rechberger KG & Kfz Zulassungsstelle;0x4773871ee09d84e9:0xfb88a5a774376655;5;Landshaager Str. 1, 4113 St. Martin im Mühlkreis, Austria;ChIJ6YSd4B6Hc0cRVWY3dKeliPs;11;https://www.uniqa-rechberger.at/;21;https://lh5.googleusercontent.com/p/AF1QipNEAlLAkf_yNWzJ-D4mk1tsm0eRdieEg3pbJt0a=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.415399099999995;14.039881699999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 7224 20544;UNIQA GeneralAgentur Möstl & Partner & Kfz Zulassungsstelle;0x4773bf6b1099aaef:0xba58abb1a8cb41a3;4.7;Dorfpl. 14, 4491 Niederneukirchen, Austria;ChIJ76qZEGu_c0cRo0HLqLGrWLo;14;https://www.versicherung-moestl.at/;31;https://lh5.googleusercontent.com/p/AF1QipNslDC1hKsZbPhHnJdpoBqkOUY6OmlXK4ORv-rc=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.1599036;14.3400473;Online appointments;On-site services;
Insurance agency;+43 316 772910;UNIQA GeneralAgentur Royer GmbH & Kfz Zulassungsstelle;0x476e35734f85fced:0x3a85f06c76a36812;5;Anton-Gerstl-Straße 11, 8020 Graz, Austria;ChIJ7fyFT3M1bkcREmijdmzwhTo;2;https://www.va-royer.at/graz/;10;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g_hNLnpcVQXTYhUKEVg6tw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.17339&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Styria, Graz;47.084281499999996;15.403736499999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 660 5191081;UNIQA CAPUN GA;0x479b13138a4f09ed:0x4a1b475daa0b015b;5;Rheinstraße 30, 6900 Bregenz, Austria;ChIJ7QlPihMTm0cRWwELql1HG0o;4;undefined;4;https://lh5.googleusercontent.com/p/AF1QipMAo0f4ofEjyEfczpF8cjaNM9AjCJgJECsD224V=w92-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vorarlberg, Bregenz;47.4974546;9.726346699999999;;;
Insurance agency;+43 6227 28128;UNIQA GeneralAgentur VA RUNDUMSICHER OG & Kfz Zulassungsstelle;0x4776a332d33d53ed:0xaa446302b0f8835d;5;Mozartpl. 7, 5340 St. Gilgen, Austria;ChIJ7VM90zKjdkcRXYP4sAJjRKo;13;https://www.rundumsicher.info/;69;https://lh5.googleusercontent.com/p/AF1QipOyw9Ch_8KT7RHhsUdbzsF95oKlMzxcZEHE4ecF=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.7670348;13.3636672;Wheelchair-accessible car park;;
Insurance agency;+43 3842 43844;UNIQA GeneralAgentur Gessl;0x4771de3fd5e67fed:0x294b3c901110d70;5;Straußgasse 16, 8700 Leoben, Austria;ChIJ7X_m1T_ecUcRcA0RAcmzlAI;25;https://www.uniqa-gessl.at/;2;https://lh5.googleusercontent.com/p/AF1QipMvuwh0LRpq-OoFLOLBHHdLMEWkvJ8qTnP41EzR=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Styria, Leoben;47.3804954;15.0932772;Wheelchair-accessible car park;;
Insurance agency;+43 4762 33184;UNIQA GeneralAgentur P & P;0x4770a3550e6d69f3:0x80307aa3eb903147;;Widmannstraße 1, 9800 Spittal an der Drau, Austria;ChIJ82ltDlWjcEcRRzGQ66N6MIA;;https://www.uniqa-p-und-p.at/;2;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MOv1NQ7tGCrq0sfa0iqBPA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=289.67386&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Spittal an der Drau;46.798179399999995;13.491348299999999;Wheelchair-accessible car park;;
Insurance agency;+43 463 909999;UNIQA GeneralAgentur Muchar Walter;0x47707310c8c0d4f3:0xda9b3ea5b02349db;3;Feldkirchner Str. 217, 9020 Klagenfurt am Wörthersee, Austria;ChIJ89TAyBBzcEcR20kjsKU-m9o;3;https://www.uniqa-muchar.at/;13;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r6Usd5peMytQnajfBTFIBg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=237.68427&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Klagenfurt am Wörthersee;46.6485592;14.284879499999999;Wheelchair-accessible car park;;
Insurance agency;+43 2635 62986;UNIQA GeneralAgentur Reisner KG & Kfz Zulassungsstelle;0x476dd0480a1bd3f1:0x8668ead64914c43;4.8;Brevilliergasse 16, 2620 Neunkirchen, Austria;ChIJ8dMbCkjQbUcRQ0yRZK2OZgg;32;https://www.reisner-versichert.at/;2;https://lh5.googleusercontent.com/p/AF1QipOEfyuZjkTZnvEi9ffKEfwtwED-ciKSVJWxe1a8=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Lower Austria, Ternitz;47.723208899999996;16.0805207;Online appointments;On-site services;
Insurance agency;;Uniqa Insurance Group Ag;0x479d695620a4eef7:0xa715a37a708bc6a8;;Ing.-Etzel-Straße 9, 6020 Innsbruck, Austria;ChIJ9-6kIFZpnUcRqMaLcHqjFac;;undefined;2;https://lh5.googleusercontent.com/p/AF1QipO-NaccJA4cbGFpfQvDfwTjPvXRCjn8bndy_JGu=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Tyrol, Innsbruck;47.267672;11.4011248;Wheelchair-accessible car park;;
Insurance agency;+43 7259 39800;UNIQA GeneralAgentur VSC Grossauer & Kfz Zulassungsstelle;0x4773daece785d0f7:0xe3fa51a264a53096;4.9;Steyrtal Str. 16, 4523 Sierning, Austria;ChIJ99CF5-zac0cRljClZKJR-uM;9;https://www.vsc-grossauer.at/;55;https://lh5.googleusercontent.com/p/AF1QipPpPvIm3vIEmyfgnsViflKi4qSvM9tWRCM-Pfzm=w137-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.0483043;14.334688199999999;Online appointments;On-site services;
Insurance company;+43 660 4547000;UNIQA GeneralAgentur Stigler & Partner GmbH & Kfz Zulassungsstelle;0x4773bd76725edbf5:0x59853b124201a427;4.5;Wiener Str. 463, 4030 Linz, Austria;ChIJ9dtecna9c0cRJ6QBQhI7hVk;60;https://www.uniqa-stigler-partner.at/;4;https://lh5.googleusercontent.com/p/AF1QipP8v0y7Z8x1RZme10XgwX14NRMwQc__847k1mnd=w138-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Upper Austria, Linz;48.2471137;14.3262197;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 732 775326;GeneralAgentur Peter Holzbauer;0x477397927a38e6f5:0x70dc12907e42e8fe;4.8;Freistädter Str. 313/315, 4040 Linz, Austria;ChIJ9eY4epKXc0cR_uhCfpAS3HA;27;http://www.holzbauer-versicherung.at/;11;https://lh5.googleusercontent.com/p/AF1QipMJXveNkcDXMnn75Ea_kW56SzZtz2yKrv-hbTOG=w138-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.3295004;14.319765299999998;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 664 4547621;UNIQA GeneralAgentur Bigler & Partner;0x476d07036ab46703:0x6867377481eaa9d9;5;Nußdorfer Str. 66, 1090 Wien, Austria;ChIJA2e0agMHbUcR2anqgXQ3Z2g;10;https://www.uniqa-bigler.at/;26;https://lh5.googleusercontent.com/p/AF1QipMY_0L45ITOoAzzloB_UQdpGZUa_qdCIiYAcbMX=w80-h92-k-no-pi-10-ya37.642082-ro-0-fo100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.228247499999995;16.3550638;;;
